1000
    56271872.00	the
   33950064.00	of
   29944184.00	and
   25956096.00	to
   17420636.00	in
   11764797.00	i
   11073318.00	that
   10078245.00	was
    8799755.00	his
    8397205.00	he
    8058110.00	it
    7725512.00	with
    7557477.00	is
    7097981.00	for
    7037543.00	as
    6139336.00	had
    6048903.00	you
    5741803.00	not
    5662527.00	be
    5202501.00	her
    5113263.00	on
    5091841.00	at
    5061050.00	by
    4580906.00	which
    4346500.00	have
    4228287.00	or
    4108111.00	from
    4015425.00	this
    3971997.00	him
    3894211.00	but
    3703342.00	all
    3415846.00	she
    3340398.00	they
    3323884.00	were
    3277699.00	my
    3224178.00	are
    3027134.00	me
    2832569.00	one
    2820265.00	their
    2802481.00	so
    2641417.00	an
    2637136.00	said
    2509917.00	them
    2491655.00	we
    2472663.00	who
    2400858.00	would
    2357654.00	been
    2320022.00	will
    2241145.00	no
    1980046.00	when
    1961200.00	there
    1951102.00	if
    1899787.00	more
    1875351.00	out
    1792712.00	up
    1703963.00	into
    1680164.00	do
    1665366.00	any
    1658553.00	your
    1605908.00	what
    1602329.00	has
    1573117.00	man
    1571110.00	could
    1533530.00	other
    1508779.00	than
    1498473.00	our
    1476767.00	some
    1462382.00	very
    1449681.00	time
    1424595.00	upon
    1414687.00	about
    1400642.00	may
    1373270.00	its
    1318367.00	only
    1317723.00	now
    1280625.00	like
    1273589.00	little
    1255636.00	then
    1210074.00	can
    1192154.00	should
    1188501.00	made
    1185720.00	did
    1171742.00	us
    1136757.00	such
    1135294.00	a
    1120163.00	great
    1117089.00	before
    1108116.00	must
    1093366.00	two
    1090510.00	these
    1084286.00	see
    1075612.00	know
    1056659.00	over
    1021822.00	much
     989808.00	down
     978575.00	after
     978196.00	first
     974419.00	Mr
     966602.00	good
     923053.00	men
     922130.00	own
     899673.00	never
     889691.00	most
     887917.00	old
     883846.00	shall
     882331.00	day
     881975.00	where
     878621.00	those
     873144.00	came
     873007.00	come
     863478.00	himself
     860027.00	way
     829823.00	work
     825485.00	life
     819684.00	without
     816536.00	go
     807600.00	make
     799596.00	well
     792925.00	through
     792220.00	being
     791686.00	long
     788124.00	say
     787455.00	might
     770603.00	how
     761957.00	am
     758856.00	too
     750750.00	even
     748992.00	def
     745230.00	again
     744168.00	many
     740270.00	back
     729829.00	here
     715780.00	think
     704444.00	every
     701741.00	people
     690186.00	went
     689376.00	same
     680833.00	last
     674623.00	thought
     673810.00	away
     671168.00	under
     656486.00	take
     654512.00	found
     648227.00	hand
     647788.00	eyes
     640067.00	still
     621773.00	place
     613918.00	while
     610168.00	just
     608042.00	also
     591821.00	young
     588615.00	yet
     570877.00	though
     569459.00	against
     567559.00	things
     564674.00	get
     559207.00	ever
     554003.00	give
     552668.00	god
     547420.00	years
     545832.00	off
     544251.00	face
     541692.00	nothing
     536737.00	right
     534154.00	once
     533985.00	another
     531797.00	left
     526137.00	part
     520922.00	saw
     517564.00	house
     517557.00	world
     512481.00	head
     502146.00	three
     501669.00	took
     498040.00	new
     496496.00	love
     495834.00	always
     495443.00	mrs
     495189.00	put
     484878.00	night
     484599.00	each
     479849.00	king
     479034.00	between
     475277.00	tell
     470313.00	mind
     467157.00	heart
     466338.00	few
     465587.00	because
     461472.00	thing
     458312.00	whom
     456267.00	far
     447884.00	seemed
     447491.00	looked
     445602.00	called
     435059.00	whole
     433393.00	de
     432637.00	set
     432491.00	both
     432016.00	got
     431120.00	find
     430389.00	done
     429972.00	heard
     428871.00	look
     427021.00	name
     426104.00	days
     424696.00	told
     424320.00	let
     422407.00	lord
     420788.00	country
     420044.00	asked
     419315.00	going
     418862.00	seen
     416463.00	better
     415673.00	p
     415355.00	having
     413499.00	home
     413101.00	knew
     405810.00	side
     398727.00	something
     390988.00	moment
     387790.00	father
     387549.00	among
     385303.00	course
     385081.00	hands
     384156.00	woman
     382266.00	enough
     380328.00	words
     373898.00	mother
     373813.00	soon
     371831.00	full
     369761.00	end
     369036.00	gave
     366719.00	room
     366630.00	almost
     359970.00	small
     355857.00	thou
     355656.00	cannot
     355467.00	water
     354212.00	want
     352828.00	however
     351253.00	light
     350537.00	quite
     349925.00	brought
     349691.00	nor
     349685.00	word
     344377.00	whose
     344141.00	given
     342388.00	door
     337544.00	best
     337367.00	turned
     335210.00	taken
     334332.00	does
     333883.00	use
     330567.00	morning
     328630.00	myself
     328324.00	Gutenberg
     326524.00	felt
     326391.00	until
     326386.00	since
     326243.00	power
     325793.00	themselves
     325791.00	used
     325719.00	rather
     325327.00	began
     324509.00	present
     322870.00	voice
     322643.00	others
     322465.00	white
     318937.00	works
     316490.00	less
     315642.00	money
     313167.00	next
     311818.00	poor
     309653.00	death
     308025.00	stood
     307506.00	form
     307223.00	within
     304955.00	together
     304735.00	till
     304489.00	thy
     304240.00	large
     301283.00	matter
     298191.00	kind
     296798.00	often
     296795.00	certain
     295916.00	herself
     295745.00	year
     295078.00	friend
     293866.00	half
     293593.00	order
     291647.00	round
     291427.00	true
     289997.00	anything
     289304.00	keep
     287876.00	sent
     286847.00	wife
     284431.00	means
     281965.00	believe
     279864.00	passed
     279821.00	feet
     278870.00	near
     278365.00	public
     277682.00	state
     277227.00	son
     275990.00	hundred
     275607.00	children
     275221.00	thus
     273746.00	hope
     272173.00	alone
     271641.00	above
     271588.00	case
     270503.00	dear
     269414.00	thee
     268542.00	says
     267878.00	person
     266672.00	high
     265947.00	read
     265138.00	city
     264662.00	already
     264606.00	received
     263613.00	fact
     263585.00	gone
     262689.00	girl
     262571.00	known
     260746.00	hear
     260596.00	times
     259916.00	least
     257964.00	perhaps
     255885.00	sure
     255789.00	indeed
     255212.00	english
     254373.00	open
     252812.00	body
     251252.00	itself
     251163.00	along
     249677.00	land
     249533.00	return
     249063.00	leave
     247480.00	air
     246792.00	nature
     246251.00	answered
     244426.00	either
     244138.00	law
     243712.00	help
     242753.00	lay
     242269.00	point
     242201.00	child
     242178.00	letter
     242099.00	four
     241091.00	wish
     240652.00	fire
     240280.00	cried
     240009.00	2
     239735.00	women
     239025.00	speak
     238734.00	number
     238281.00	therefore
     237964.00	hour
     237481.00	friends
     235474.00	held
     235012.00	free
     234544.00	war
     233771.00	during
     233197.00	several
     233158.00	business
     230819.00	whether
     230485.00	er
     230401.00	manner
     230300.00	second
     229940.00	reason
     229913.00	replied
     226953.00	united
     226661.00	call
     226391.00	general
     226216.00	why
     226205.00	behind
     224811.00	became
     224569.00	john
     224326.00	become
     224049.00	dead
     222546.00	earth
     222315.00	boy
     222264.00	lost
     220598.00	forth
     218623.00	thousand
     218510.00	looking
     218372.00	I'll
     218118.00	family
     217840.00	soul
     216356.00	feel
     215147.00	coming
     214339.00	England
     213257.00	spirit
     213124.00	question
     213072.00	care
     212548.00	truth
     212369.00	ground
     211722.00	really
     211668.00	rest
     211299.00	mean
     211043.00	different
     210031.00	making
     209099.00	possible
     208344.00	fell
     208199.00	towards
     206740.00	human
     206329.00	kept
     206216.00	short
     205687.00	town
     205653.00	following
     204955.00	need
     204686.00	cause
     203956.00	met
     203331.00	evening
     202041.00	returned
     201451.00	five
     200224.00	strong
     200145.00	able
     199969.00	french
     199658.00	live
     199560.00	lady
     198566.00	subject
     198498.00	sn
     198187.00	answer
     198128.00	sea
     196739.00	fear
     196729.00	understand
     196458.00	hard
     196252.00	terms
     195905.00	doubt
     195594.00	around
     194903.00	ask
     194298.00	arms
     192763.00	turn
     192719.00	sense
     192229.00	seems
     191272.00	black
     191148.00	bring
     190649.00	followed
     190563.00	beautiful
     188915.00	close
     188316.00	dark
     186609.00	hold
     186256.00	character
     186136.00	sort
     185862.00	sight
     184612.00	ten
     184074.00	show
     184068.00	party
     183059.00	fine
     182978.00	ye
     181866.00	ready
     180998.00	story
     180061.00	common
     179739.00	book
     179347.00	electronic
     178877.00	talk
     178452.00	account
     178084.00	mark
     178001.00	interest
     177232.00	written
     176728.00	can't
     176635.00	bed
     176467.00	necessary
     176320.00	age
     175980.00	else
